sample,r2_score,reconstruction_error
P-0000900-T01-IM3,0.9417518780478573,1.2163010261205722
P-0000107-T01-IM3,0.9800539077136212,0.3798662039896962
P-0003960-T01-IM3,0.9199160124632006,2.3758590129061434
P-0001242-T01-IM3,0.9765458379936592,0.4899945401809367
P-0000522-T01-IM3,0.9604360760221389,1.0282583099144114
P-0000763-T01-IM3,0.9611359535569933,0.48753558261093205
P-0000739-T01-IM3,0.8606479805186227,4.306226244866492
P-0000435-T01-IM3,0.8872791324473812,2.359518057915851
P-0001909-T01-IM3,0.9558786950010645,0.9883960200207957
P-0000119-T01-IM3,0.9072211011058178,1.7054039693419143
P-0000235-T01-IM3,0.9649564649935715,0.7614817122060168
P-0000628-T01-IM3,0.6555979703692016,5.068947729476763
P-0000478-T01-IM3,0.9828165851672195,0.4737712946752334
P-0001079-T01-IM3,0.9576260529318417,0.7754864700687948
P-0000933-T01-IM3,0.9683081757737773,0.5424395271577598
P-0000197-T01-IM3,0.8572372953309151,5.520218612300142
P-0000511-T01-IM3,0.9489706919277705,1.1088460361205386
P-0000731-T01-IM3,0.9584318825491429,0.8319985957128188
P-0000989-T01-IM3,0.9765019503093697,0.5059273964003049
P-0000252-T01-IM3,0.931836099506832,0.8711763813029894
P-0000183-T01-IM3,0.9179113894425539,2.7586589570880524
P-0000392-T01-IM3,0.9552158014833533,0.8618673306366919
P-0001010-T01-IM3,0.9611254707316956,0.7162036999379963
P-0000445-T01-IM3,0.9778788717704726,0.42718607320796576
P-0001441-T01-IM3,0.9069069523587077,2.9090389976581905
P-0000678-T01-IM3,0.9678003609338939,0.37144583636972384
P-0000260-T01-IM3,0.9326402138298285,1.0234563429325036
P-0001341-T01-IM3,0.9303367001346073,1.3551466661315097
P-0003974-T01-IM3,0.8902467349468491,1.5326259512779277
P-0000830-T01-IM3,0.8380832165034446,7.0029008862260165
P-0001237-T01-IM3,0.8916066238828447,3.263276602669918
P-0000721-T01-IM3,0.9143941211111475,1.9256955103109725
P-0000505-T01-IM3,0.9007775212949811,2.028492204954136
P-0000441-T01-IM3,0.9138810729983419,1.3676871940020996
P-0001332-T01-IM3,0.9263600953673163,1.6962538746959608
P-0000275-T01-IM3,0.9662170365729043,2.170512309676326
P-0000871-T01-IM3,0.8743920459888594,1.7713284943203687
P-0001208-T01-IM3,0.9299060824321392,1.4150209609011892
P-0000463-T01-IM3,0.8578014607854727,3.784766476772373
P-0000274-T01-IM3,0.9687004680983875,0.6636778295056205
P-0000864-T01-IM3,0.9476394231865023,1.3367975835446038
P-0000317-T01-IM3,0.9318656217816054,1.3163666159107448
P-0001290-T01-IM3,0.9372574905611257,1.6251430346622695
P-0000247-T01-IM3,0.9790590555336715,0.560998286513135
P-0000532-T01-IM3,0.9813227281358204,0.3493412176228697
P-0000388-T01-IM3,0.9555789596002765,1.2394263504387144
P-0000242-T01-IM3,0.9176147901946071,2.2529832885556407
P-0000831-T01-IM3,0.9596497262995484,0.9679948313241006
P-0001247-T01-IM3,0.8858361846816096,3.6129061503374813
P-0001200-T01-IM3,0.9474737922527916,0.7966698167373155
P-0001189-T01-IM3,0.8983059818125638,5.542713126488948
P-0000126-T01-IM3,0.9580692512286582,1.2517184237812284
P-0000737-T01-IM3,0.941668542899022,1.2181155811954223
P-0000935-T01-IM3,0.9643584675058896,0.557353556604329
P-0000504-T01-IM3,0.9969250056016715,0.06422972993243219
P-0000691-T01-IM3,0.947086098876741,1.0577380846986166
P-0003961-T01-IM3,0.9704353609257165,0.4740523951566566
P-0004486-T01-IM5,0.8898256646419942,2.921306228854877
P-0000585-T01-IM3,0.7921309149223384,7.666498207934419
P-0000990-T02-IM3,0.8911326870436299,3.6741329509089233
P-0000603-T01-IM3,0.9566498176014671,0.966753302367283
P-0000012-T03-IM3,0.9562466692709414,0.9527510997531742
P-0004001-T01-IM3,0.8193268753069607,7.244208768782771
P-0000912-T01-IM3,0.9907384124910615,0.1273350149985302
P-0000921-T01-IM3,0.9448527807812359,1.4987522957834272
P-0000195-T01-IM3,0.9371802355829224,1.375224000880488
P-0001296-T01-IM3,0.9356213857235764,0.9745476967252478
P-0000897-T01-IM3,0.8472121913155389,3.1436481401645957
P-0000798-T01-IM3,0.9525290039210957,0.6255393628713771
P-0000635-T01-IM3,0.9525821223201792,0.7941889691501615
P-0002139-T01-IM3,0.9191891472908228,2.042535532251347
P-0001620-T01-IM3,0.8696427511205798,2.5743893933674262
P-0000098-T01-IM3,0.9291959116672037,1.2806147609171563
P-0000606-T01-IM3,0.9592523182301134,1.0870379645627295
P-0000825-T01-IM3,0.965440306417914,0.4825573541366014
P-0001269-T01-IM3,0.9717630994632783,0.7684470788922119
P-0000152-T01-IM3,0.9344396589402886,1.1212156287354722
P-0000783-T01-IM3,0.92380688496304,2.8489810807506153
P-0001340-T01-IM3,0.9820070376525528,0.34744318492092274
P-0000447-T01-IM3,0.9458397581130839,1.9235175702797096
P-0000702-T01-IM3,0.9716289089119262,0.684814448661618
P-0000868-T01-IM3,0.9634035672454015,0.5475927967400438
P-0001316-T01-IM3,0.9608021901432965,1.101738441329487
P-0000241-T01-IM3,0.9241144727952564,1.2153299484473987
P-0000149-T01-IM3,0.9718785394470594,0.4709985950518662
P-0001536-T01-IM3,0.8787195554118881,3.5559611986567967
P-0001325-T01-IM3,0.9260779322575897,1.5843271738210718
P-0000473-T01-IM3,0.9453658457342662,1.651568183798331
P-0000316-T01-IM3,0.9629710288318157,0.880902220992098
P-0000208-T01-IM3,0.9548314564523818,1.1324399132295715
P-0000520-T01-IM3,0.8976655846419592,1.6316073877238644
P-0000093-T01-IM3,0.8571598680027508,6.555159577970701
P-0000597-T01-IM3,0.9424253518734809,1.1770490563416431
P-0000422-T01-IM3,0.9374527212440147,1.0520548022387484
P-0001166-T01-IM3,0.9364087179489902,1.886568404623007
P-0000873-T01-IM3,0.9457297770365283,0.9688342354550378
P-0000120-T01-IM3,0.9335963417471944,1.4720606893287758
P-0000318-T01-IM3,0.929240034505091,3.0444836174416747
P-0000984-T01-IM3,0.935558635844064,1.0695293755064292
P-0000468-T01-IM3,0.9264740082262822,2.113778480341611
P-0001121-T01-IM3,0.965856228674609,0.7337426776660575
P-0001131-T01-IM3,0.9874497792580542,0.2627062150460105
P-0000349-T01-IM3,0.977322663934356,0.32404871931557383
P-0000745-T01-IM3,0.924052935494359,1.5975038785236308
P-0001162-T01-IM3,0.959724936165238,0.7423660044338586
P-0004474-T01-IM5,0.9277293074488537,1.7278595168095474
P-0001043-T01-IM3,0.8993401513757489,5.101168935829236
P-0000563-T01-IM3,0.9745049200985861,0.5844356836584315
P-0000405-T01-IM3,0.9489147682980175,0.7826335688424899
P-0001138-T01-IM3,0.8711555523687211,3.589238184014199
P-0000066-T01-IM3,0.8975084078633753,1.2543454420292268
P-0000168-T01-IM3,0.9255796866972797,1.2385666428238447
P-0000562-T01-IM3,0.9364951357897389,1.3040367460726947
P-0000395-T01-IM3,0.9580465547930871,0.7457438933718593
P-0001206-T01-IM3,0.9602022022982326,0.8725057996147686
P-0000842-T01-IM3,0.9232445866307509,1.618521038036257
P-0000584-T01-IM3,0.9572700726537577,1.060999356695533
P-0001278-T01-IM3,0.9533182688470808,1.1148240463980952
P-0001032-T01-IM3,0.9730810639681171,0.515717371427144
P-0001017-T01-IM3,0.9766438159379953,0.43268522616907623
P-0000036-T01-IM3,0.926875756895974,1.2207271603896586
P-0004023-T01-IM3,0.9402463156454375,1.3062734644806724
P-0001354-T01-IM3,0.9814770511934322,0.3680963551101107
P-0000214-T01-IM3,0.9586015690985239,1.0474225451041832
P-0000683-T01-IM3,0.9420958470130777,1.2179813608511938
P-0000656-T01-IM3,0.9098441400186252,1.3977608138694009
P-0000630-T01-IM3,0.9372395225371242,1.2528880520044248
P-0000335-T01-IM3,0.9499209596921151,1.167339874523721
P-0000431-T01-IM3,0.9666854845079421,0.6283440568635965
P-0000854-T01-IM3,0.9652208724080165,0.6435469438480929
P-0000754-T01-IM3,0.9648134308088832,0.5178798748677265
P-0000110-T01-IM3,0.9696843792387568,0.7264535296447377
P-0000607-T01-IM3,0.9630942849382679,0.6697163369684473
P-0000669-T01-IM3,0.9667622173136466,0.7557779999357404
P-0000082-T01-IM3,0.9535200298743907,0.8752344374545542
P-0000057-T01-IM3,0.9558982630915386,1.5122283077935827
P-0001312-T01-IM3,0.9498322470262677,1.538499087688071
P-0000421-T01-IM3,0.9706585354701814,0.4659828760979218
P-0000806-T01-IM3,0.7312629908687862,12.22753391547023
P-0001297-T01-IM3,0.8940006824719771,4.685602485014237
P-0000423-T02-IM3,0.9406514449548561,1.654795170008732
P-0000442-T01-IM3,0.9331222999661872,0.9642672464058928
P-0000894-T01-IM3,0.9176829764346092,2.0045875177429107
P-0001813-T01-IM3,0.9812228823746749,0.34955616293573905
P-0000655-T01-IM3,0.958381544915703,0.9243119131731875
P-0001097-T01-IM3,0.9951346830540799,0.10477186989536724
P-0001118-T01-IM3,0.767662892113723,3.7742926097444185
P-0000541-T01-IM3,0.950423176449653,1.5004577413298894
P-0001257-T01-IM3,0.9809010453699704,0.31357365305834445
P-0000641-T01-IM3,0.9692989190422945,0.5680874763436664
P-0002124-T01-IM3,0.7612605937071908,8.736826920850753
P-0000495-T01-IM3,0.9431104319874561,2.2212328653469147
P-0000969-T01-IM3,0.8916252461572404,3.308747586709558
P-0000714-T01-IM3,0.9522601893082706,0.6787699869651888
P-0000526-T01-IM3,0.8930578846857348,2.6172173042535802
P-0001184-T01-IM3,0.8456446039536668,5.724537621738756
P-0000426-T01-IM3,0.9289122644152651,1.9570888837511713
P-0000625-T01-IM3,0.9318772374733009,1.365496445289639
P-0000604-T01-IM3,0.9150001805880027,1.8530827976911453
P-0000703-T01-IM3,0.9279841347711534,1.0942002380178832
P-0000521-T01-IM3,0.9471310490074091,4.76973695491958
P-0000979-T01-IM3,0.9697217927353502,0.49816147386061
P-0001337-T01-IM3,0.8705155511784376,4.082723947537017
P-0000315-T01-IM3,0.9306315638462481,1.4534633937470431
P-0001150-T01-IM3,0.9660631056205639,0.6295640202226007
P-0001328-T01-IM3,0.8471463941958959,2.0469515399710323
P-0001061-T01-IM3,0.9702366102073309,0.7296586120090564
P-0000239-T01-IM3,0.9304838627418488,1.183547704236992
P-0001300-T01-IM3,0.9833893639314996,0.4639748970205247
P-0000671-T01-IM3,0.9760554983589612,0.46090111513382137
P-0001984-T01-IM3,0.9378905518838032,0.7785070747931967
P-0000380-T01-IM3,0.9639702724412383,0.8288216027069719
P-0000994-T01-IM3,0.9689449475469544,0.7688898254669245
P-0001168-T01-IM3,0.9301441113969304,0.7736717866587414
P-0000638-T01-IM3,0.9793879548532246,0.32201062367054184
P-0001390-T01-IM3,0.8743527799485185,2.066127501152679
P-0000998-T01-IM3,0.9131249083717183,2.8202269860094353
P-0000493-T01-IM3,0.954301987234546,1.1393610402121561
P-0000595-T01-IM3,0.9542717979929694,1.141046959009618
P-0001078-T01-IM3,0.9324644452983042,2.2241077638304665
P-0001175-T01-IM3,0.9508818395276308,0.6275095603204724
P-0000104-T01-IM3,0.9313337626330607,1.4160659767202495
P-0000483-T01-IM3,0.950014209632863,0.7638134803549761
P-0000973-T01-IM3,0.9482293706613939,1.2234773219205277
P-0000592-T01-IM3,0.9222783493674841,1.5015941863912219
P-0001314-T01-IM3,0.9362077449188491,2.0195456264211322
P-0000858-T01-IM3,0.9356550596792912,1.1794657364144217
P-0000219-T01-IM3,0.9687777087138163,0.5828692031436029
P-0000418-T01-IM3,0.7819412606169819,5.928471976975806
P-0001141-T01-IM3,0.9875379611931118,0.2761358905016106
P-0000687-T01-IM3,0.8782663965708144,2.1854597809512595
P-0000058-T01-IM3,0.9321371245448871,2.514388783444032
P-0001037-T01-IM3,0.9175453145296749,2.005310571253429
P-0001305-T01-IM3,0.884620979815,4.7392226875223935
P-0003939-T01-IM3,0.9491555593004063,1.0399114880331444
P-0000552-T01-IM3,0.9267087051292093,1.7720788081259031
P-0000561-T01-IM3,0.9607016868455247,0.9136356554421186
P-0000676-T01-IM3,0.9813370449405874,0.45407636193660256
P-0003958-T01-IM3,0.8346799981465876,2.934430032898071
P-0000725-T01-IM3,0.9448010350788217,1.6933549812745656
